pk;pk_l1;pk_l2;pk_l3;un_pk_l0;un_pk_l1;un_pk_l2;un_pk_l3;un_code_l1;un_code_l2;un_code_l3;classificationDesc;classificationType;typeCode;desc_l1;desc_l2;desc_l3
S-LVL01-IDX-0024-S-LVL02-IDX-0035;S-LVL01-IDX-0024;S-LVL02-IDX-0035;;EBOPS 2010-S-3;EBOPS 2010-S-3a.3;EBOPS 2010-S-3a.3.2;;3a.3;3a.3.2;;EBOPS 2010;Services;S; Other; Other;
S-LVL01-IDX-0025-S-LVL02-IDX-0036;S-LVL01-IDX-0025;S-LVL02-IDX-0036;;EBOPS 2010-S-4;EBOPS 2010-S-4.1;EBOPS 2010-S-4.1.1;;4.1;4.1.1;;EBOPS 2010;Services;S;Business;Acquisition of goods and services by border, seasonal, and other shortterm workers;
S-LVL01-IDX-0025-S-LVL02-IDX-0037;S-LVL01-IDX-0025;S-LVL02-IDX-0037;;EBOPS 2010-S-4;EBOPS 2010-S-4.1;EBOPS 2010-S-4.1.2;;4.1;4.1.2;;EBOPS 2010;Services;S;Business;Other;
S-LVL01-IDX-0026-S-LVL02-IDX-0038;S-LVL01-IDX-0026;S-LVL02-IDX-0038;;EBOPS 2010-S-4;EBOPS 2010-S-4.2;EBOPS 2010-S-4.2.1;;4.2;4.2.1;;EBOPS 2010;Services;S;Personal;Health-related;
S-LVL01-IDX-0026-S-LVL02-IDX-0039;S-LVL01-IDX-0026;S-LVL02-IDX-0039;;EBOPS 2010-S-4;EBOPS 2010-S-4.2;EBOPS 2010-S-4.2.2;;4.2;4.2.2;;EBOPS 2010;Services;S;Personal;Education-related;
S-LVL01-IDX-0026-S-LVL02-IDX-0040;S-LVL01-IDX-0026;S-LVL02-IDX-0040;;EBOPS 2010-S-4;EBOPS 2010-S-4.2;EBOPS 2010-S-4.2.3;;4.2;4.2.3;;EBOPS 2010;Services;S;Personal;Other;
S-LVL01-IDX-0027;S-LVL01-IDX-0027;;;EBOPS 2010-S-4;EBOPS 2010-S-4a.1;;;4a.1;;;EBOPS 2010;Services;S;Goods;;
S-LVL01-IDX-0028;S-LVL01-IDX-0028;;;EBOPS 2010-S-4;EBOPS 2010-S-4a.2;;;4a.2;;;EBOPS 2010;Services;S;Local transport services;;
S-LVL01-IDX-0029;S-LVL01-IDX-0029;;;EBOPS 2010-S-4;EBOPS 2010-S-4a.3;;;4a.3;;;EBOPS 2010;Services;S;Accommodation services;;
S-LVL01-IDX-0030;S-LVL01-IDX-0030;;;EBOPS 2010-S-4;EBOPS 2010-S-4a.4;;;4a.4;;;EBOPS 2010;Services;S;Food-serving services;;
S-LVL01-IDX-0031-S-LVL02-IDX-0041;S-LVL01-IDX-0031;S-LVL02-IDX-0041;;EBOPS 2010-S-4;EBOPS 2010-S-4a.5;EBOPS 2010-S-4a.5.1;;4a.5;4a.5.1;;EBOPS 2010;Services;S;Other services; Of which: Health services;
S-LVL01-IDX-0031-S-LVL02-IDX-0042;S-LVL01-IDX-0031;S-LVL02-IDX-0042;;EBOPS 2010-S-4;EBOPS 2010-S-4a.5;EBOPS 2010-S-4a.5.2;;4a.5;4a.5.2;;EBOPS 2010;Services;S;Other services; Of which: Education services;
S-LVL01-IDX-0032;S-LVL01-IDX-0032;;;EBOPS 2010-S-5;EBOPS 2010-S-5.1;;;5.1;;;EBOPS 2010;Services;S;Construction abroad;;
S-LVL01-IDX-0033;S-LVL01-IDX-0033;;;EBOPS 2010-S-5;EBOPS 2010-S-5.2;;;5.2;;;EBOPS 2010;Services;S;Construction in the reporting economy;;
S-LVL01-IDX-0034-S-LVL02-IDX-0043-S-LVL03-IDX-0021;S-LVL01-IDX-0034;S-LVL02-IDX-0043;S-LVL03-IDX-0021;EBOPS 2010-S-6;EBOPS 2010-S-6.1;EBOPS 2010-S-6.1.1;EBOPS 2010-S-6.1.1.a;6.1;6.1.1;6.1.1.a;EBOPS 2010;Services;S;Direct insurance;Life insurance;Gross life insurance premiums receivable (credits) and payable (debits)
S-LVL01-IDX-0034-S-LVL02-IDX-0043-S-LVL03-IDX-0022;S-LVL01-IDX-0034;S-LVL02-IDX-0043;S-LVL03-IDX-0022;EBOPS 2010-S-6;EBOPS 2010-S-6.1;EBOPS 2010-S-6.1.1;EBOPS 2010-S-6.1.1.b;6.1;6.1.1;6.1.1.b;EBOPS 2010;Services;S;Direct insurance;Life insurance;Gross life insurance claims receivable (credits) and payable (debits)
S-LVL01-IDX-0034-S-LVL02-IDX-0044-S-LVL03-IDX-0023;S-LVL01-IDX-0034;S-LVL02-IDX-0044;S-LVL03-IDX-0023;EBOPS 2010-S-6;EBOPS 2010-S-6.1;EBOPS 2010-S-6.1.2;EBOPS 2010-S-6.1.2.a;6.1;6.1.2;6.1.2.a;EBOPS 2010;Services;S;Direct insurance;Freight insurance;Gross freight insurance premiums receivable (credits) and payable (debits)
S-LVL01-IDX-0034-S-LVL02-IDX-0044-S-LVL03-IDX-0024;S-LVL01-IDX-0034;S-LVL02-IDX-0044;S-LVL03-IDX-0024;EBOPS 2010-S-6;EBOPS 2010-S-6.1;EBOPS 2010-S-6.1.2;EBOPS 2010-S-6.1.2.b;6.1;6.1.2;6.1.2.b;EBOPS 2010;Services;S;Direct insurance;Freight insurance;Gross freight insurance claims receivable (credits) and payable (debits)
S-LVL01-IDX-0034-S-LVL02-IDX-0045-S-LVL03-IDX-0025;S-LVL01-IDX-0034;S-LVL02-IDX-0045;S-LVL03-IDX-0025;EBOPS 2010-S-6;EBOPS 2010-S-6.1;EBOPS 2010-S-6.1.3;EBOPS 2010-S-6.1.3.a;6.1;6.1.3;6.1.3.a;EBOPS 2010;Services;S;Direct insurance;Other direct insurance;Gross other direct insurance premiums receivable (credits) and payable (debits)
S-LVL01-IDX-0034-S-LVL02-IDX-0045-S-LVL03-IDX-0026;S-LVL01-IDX-0034;S-LVL02-IDX-0045;S-LVL03-IDX-0026;EBOPS 2010-S-6;EBOPS 2010-S-6.1;EBOPS 2010-S-6.1.3;EBOPS 2010-S-6.1.3.b;6.1;6.1.3;6.1.3.b;EBOPS 2010;Services;S;Direct insurance;Other direct insurance;Gross other direct insurance claims receivable (credits) and payable (debits)
S-LVL01-IDX-0035;S-LVL01-IDX-0035;;;EBOPS 2010-S-6;EBOPS 2010-S-6.2;;;6.2;;;EBOPS 2010;Services;S;Reinsurance;;
S-LVL01-IDX-0036;S-LVL01-IDX-0036;;;EBOPS 2010-S-6;EBOPS 2010-S-6.3;;;6.3;;;EBOPS 2010;Services;S;Auxiliary insurance services;;
S-LVL01-IDX-0037-S-LVL02-IDX-0046;S-LVL01-IDX-0037;S-LVL02-IDX-0046;;EBOPS 2010-S-6;EBOPS 2010-S-6.4;EBOPS 2010-S-6.4.1;;6.4;6.4.1;;EBOPS 2010;Services;S;Pension and standardized guarantee services;Pension services;
S-LVL01-IDX-0037-S-LVL02-IDX-0047;S-LVL01-IDX-0037;S-LVL02-IDX-0047;;EBOPS 2010-S-6;EBOPS 2010-S-6.4;EBOPS 2010-S-6.4.2;;6.4;6.4.2;;EBOPS 2010;Services;S;Pension and standardized guarantee services;Standardized guarantee services;
